Date,Blockchain,Values
2023-02-20,Arbitrum,118021
2023-02-20,Avalanche,25818
2023-02-20,Axelar,1727
2023-02-20,BSC,891733
2023-02-20,Cosmos,18921
2023-02-20,Ethereum,336293
2023-02-20,Gnosis,3135
2023-02-20,NEAR,67881
2023-02-20,Optimism,31953
2023-02-20,Osmosis,16970
2023-02-20,Polygon,301084
2023-02-20,Solana,122293
2023-02-19,Arbitrum,96952
2023-02-19,Avalanche,21208
2023-02-19,Axelar,1664
2023-02-19,BSC,853020
2023-02-19,Cosmos,19907
2023-02-19,Ethereum,311231
2023-02-19,Gnosis,6043
2023-02-19,NEAR,59033
2023-02-19,Optimism,39739
2023-02-19,Osmosis,29306
2023-02-19,Polygon,265973
2023-02-19,Solana,115821
2023-02-18,Arbitrum,100301
2023-02-18,Avalanche,22259
2023-02-18,Axelar,1672
2023-02-18,BSC,847372
2023-02-18,Cosmos,20808
2023-02-18,Ethereum,320481
2023-02-18,Gnosis,2607
2023-02-18,NEAR,69556
2023-02-18,Optimism,31546
2023-02-18,Osmosis,54896
